City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,nouadhibou,20.931,-17.0347,21.99,88,40,9.26,MR,1691705797
110,lebu,-37.6167,-73.65,9.53,80,51,5.53,CL,1691705731
111,puerto baquerizo moreno,-0.9,-89.6,25.55,83,75,6.17,EC,1691705797
112,nova vicosa,-17.8919,-39.3719,22.25,76,83,3.63,BR,1691705797
113,vila franca do campo,37.7167,-25.4333,23.23,92,67,1.6,PT,1691705797
114,holesov,49.3333,17.5783,11.25,72,43,1.07,CZ,1691705797
115,thompson,55.7435,-97.8558,20.09,45,75,1.03,CA,1691705797
116,port mathurin,-19.6833,63.4167,22.87,79,51,9.55,MU,1691705743
117,nuku'alofa,-21.1333,-175.2,22.19,83,100,4.63,TO,1691705798
118,auki,-8.7676,160.7034,24.8,89,99,4.33,SB,1691705798
119,iskateley,67.6803,53.1512,10.41,81,14,2.17,RU,1691705798
120,guarapari,-20.6667,-40.4975,21.75,88,6,5.39,BR,1691705798
121,cidade velha,14.9167,-23.6167,26.26,69,40,3.09,CV,1691705798
122,castillos,-34.1667,-53.8333,14.48,96,100,2.35,UY,1691705798
123,bijawar,24.6333,79.5,24.84,81,72,3.44,IN,1691705798
124,zhangye,38.9342,100.4517,20.0,69,70,3.08,CN,1691705798
125,christchurch,-43.5333,172.6333,6.34,88,99,0.51,NZ,1691705551
126,guerrero negro,27.9769,-114.0611,26.41,62,5,8.06,MX,1691705798
127,rongelap,11.1635,166.8941,28.24,74,38,5.49,MH,1691705798
128,port macquarie,-31.4333,152.9167,11.61,60,0,3.46,AU,1691705798
129,puerto ayora,-0.7393,-90.3518,27.98,93,54,2.68,EC,1691705799
130,saint-leu,-21.15,55.2833,19.48,88,5,1.38,RE,1691705799
131,belyy yar,53.6039,91.3903,14.94,88,0,1.0,RU,1691705799
132,soio,-6.1349,12.3689,21.84,84,10,3.47,AO,1691705799
133,sarmiento,-45.5882,-69.07,9.35,64,85,10.86,AR,1691705799
134,zhezqazghan,47.7833,67.7667,20.93,50,8,6.82,KZ,1691705799
135,oskarshamn,57.2645,16.4484,12.21,85,100,3.95,SE,1691705799
136,vorgashor,67.5833,63.95,4.82,95,50,3.62,RU,1691705764
137,mpophomeni,-29.5682,30.1862,8.85,76,12,1.47,ZA,1691705799
138,kampung sungai ara,5.327,100.2735,25.95,90,20,0.0,MY,1691705799
139,punta arenas,-53.15,-70.9167,2.92,73,100,6.83,CL,1691705799
140,beni,0.5,29.4667,16.75,99,75,0.78,CD,1691705800
141,mount pearl,47.5166,-52.7813,20.25,88,75,3.09,CA,1691705800
142,nantucket,41.2835,-70.0995,23.97,72,20,5.66,US,1691705798
143,guixi,28.2886,117.2133,26.02,90,100,1.51,CN,1691705800
144,palikir - national government center,6.9248,158.1611,29.41,79,100,1.54,FM,1691705800
145,iquitos,-3.7481,-73.2472,28.02,65,40,4.63,PE,1691705750
146,trenggalek,-8.05,111.7167,20.58,95,71,1.03,ID,1691705800
147,urucui,-7.2294,-44.5561,28.62,29,0,2.43,BR,1691705800
148,qaqortoq,60.7167,-46.0333,7.28,77,90,1.4,GL,1691705800
